50 100
1 2 14
1 5 3
1 12 8
1 23 15
1 37 5
2 6 9
2 9 13
2 15 6
3 4 7
3 10 2
3 25 16
3 41 5
4 7 4
4 13 17
4 24 9
5 8 8
5 18 11
5 39 12
6 9 6
6 14 5
6 32 8
7 10 10
7 16 13
7 20 14
8 11 7
8 19 9
8 35 4
9 15 12
9 22 3
10 17 5
10 21 15
11 13 6
11 28 4
11 47 7
12 14 7
12 26 9
12 30 13
13 16 10
13 31 6
14 18 2
14 40 16
15 19 3
15 27 8
16 20 9
16 36 14
17 21 11
17 29 6
17 48 15
18 22 7
18 38 5
19 24 10
19 33 6
20 23 5
20 45 11
21 25 9
21 44 6
22 26 4
22 50 8
23 27 10
23 34 6
24 28 7
24 46 13
25 29 3
25 42 12
26 30 5
26 49 4
27 31 7
27 43 8
28 32 11
28 37 6
29 33 5
29 35 12
30 34 13
30 48 9
31 36 14
31 40 10
32 38 5
32 41 7
33 35 3
33 47 15
34 39 9
34 50 12
35 42 6
36 44 10
36 49 4
37 43 8
37 45 11
38 46 6
39 47 7
39 48 3
40 50 9
41 42 2
42 43 14
43 44 5
44 45 8
45 46 6
46 47 4
47 48 10
48 49 5
49 50 7
